z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.34539492380288001, 4.8522444252322575e-149, 300.0, 1.1270345284946486, 1.5123558071794614e-09, 4.5498721818212746e-16, -4.3634561055130381e-15, 0.19193857936063419, -3.7138857274977396e-14, 1.3287786732712883e-14, -3.2730893204013091e-15, 2.8309728380432335e-13, 1.5587197716664352e-14, 1.062521690254803e-34, 1.5012890472376483e-17, -1.142325098675562e-27, -2.113092080816543e-15, 0.086372360717013499, 6.3578321062770607e-15, 2.8654220514616965e-15, 2.0346342238325051e-25, 4.1740905129306856e-14, 2.5224995921810316e-25, -6.3944143570088136e-20, -8.991715887280307e-17, 8.7874753613174892e-29, -9.9117581186614435e-17, -4.3933256639911343e-29, 4.7823912902177525e-14, -3.0812184885962474e-19, -1.822636269283241e-14, 4.4180681722702777e-29, -1.8997183711727848e-16, -4.4562446656796729e-17, 1.2851165467872704e-14, -1.4462763030722235e-14, -1.3613274931081668e-15, -2.9602448246293651e-16, 4.5116241924592788e-29, -4.4995714822625158e-15, 5.5228142256847852e-15, -1.0675552338550678e-16, -2.3647443563677498e-15, 1.103929743201727e-14, 2.9421319545394894e-15, -2.0923478005609931e-15, 3.8443115679357572e-35, -1.3415442934044492e-16, 5.969298191644528e-17, -1.4493805486456523e-14, -4.4188321425709032e-13, 0.7216890584101493, 3.5849964890841322e-67, -5.0308394130224156e-14, 1.2852077168409498e-15, 1.0062484947765269e-23, -1.7151333388125136e-16, 
0.001, 0.34539492595735954, 4.8522202878421011e-149, 300.00000000201476, 1.1270345214831947, 8.2050246835549622e-09, 7.8784592266665115e-19, 1.5751148514177172e-14, 0.19193857806004302, 2.5594147681714184e-16, 2.6832841445651492e-13, 7.4234627973653068e-15, 5.0352493600158048e-13, 2.2591534412656193e-20, 1.0592881173543152e-34, 2.3968234934136484e-22, -1.5754696868473251e-28, 8.3553315116728345e-15, 0.086372360152446884, 2.7909684342296811e-14, 6.5113531152558769e-16, 2.7720070071222623e-25, 4.653976867124933e-14, 3.8850445699031896e-25, -9.015670123728917e-20, -3.437415542052364e-16, -1.2917993370920587e-34, -1.2990332098808676e-16, -6.4527826808373031e-29, 4.7577321145900235e-14, -4.3329155828470289e-19, -1.620151040318814e-14, 5.889666203807959e-29, -2.9802322272629389e-16, -6.6753042661737052e-17, 6.2207292385914933e-15, -1.1600102281973797e-16, -1.6880948605258435e-15, -4.0917499157714233e-16, 8.9141368327820555e-29, -1.2075878163970046e-14, 5.3862439560873286e-15, -1.5233435861319395e-16, -2.4440234242418775e-15, 1.4284775078142441e-20, 2.8782043196012672e-15, -2.1209813127213431e-15, 4.6855462074313552e-35, -1.9348403300449507e-16, 9.1715201890171055e-17, -1.9754374449974719e-14, -1.6231130175215808e-13, 0.72168905358181168, 4.920523294387311e-67, -4.9784306716329725e-14, 1.2451247650164157e-15, 1.4585261817817499e-23, -2.9174541068387722e-16, 
0.0032080014557235412, 0.3453949644547476, 4.8520004085886171e-149, 300.00000009974758, 1.127034395885806, 1.2786485309772019e-07, -3.0484032698925706e-22, 2.5068529034936447e-14, 0.19193855480566793, 8.1601458433251805e-17, 1.3878017092423333e-11, 1.8532830542436939e-14, -1.3321781361078776e-13, 6.7982723809487657e-26, 1.3390446863583439e-40, -1.1757354272737517e-25, -5.5111252513033098e-28, -3.3574934362426736e-14, 0.086372350056013639, 9.4268217246091077e-13, 1.9893322454320428e-14, 5.4538121209780571e-25, 4.6722179842796822e-14, -1.8892643932847728e-26, -5.8259474841116157e-20, -1.7117828664383581e-15, 1.8564123047271749e-40, -2.4792579715821964e-16, 2.7074127907096281e-30, 4.6362508003910624e-14, -7.0796227282302321e-19, 1.249534905242537e-14, 1.2912986174771727e-28, -8.0341007900638173e-16, -1.589846372772564e-16, 1.80930739263101e-15, 2.1374085411430276e-17, -2.8945649175883269e-15, -8.304041166726903e-16, -3.4411693819344246e-32, -1.7792203371512115e-15, 4.8091042593109095e-15, -3.3557387656327184e-16, -2.7266658735653458e-15, 5.2703131839797141e-26, 2.6152637414501207e-15, -2.1997120625739613e-15, 2.6425672493239327e-40, -4.3091410914000808e-16, 2.0432546571698206e-16, -4.3006665627885651e-14, -1.6240244725682268e-13, 0.72168896725890785, 9.2780032264367926e-67, -5.5737751492282361e-14, 1.0592146983907871e-15, 2.5168605657308801e-23, -8.6950105755015098e-16, 
0.0054160029114470824, 0.34539538181079105, 4.8517981701304519e-149, 300.00000350597122, 1.1270330342624022, 1.4166117501288379e-06, 7.3980054620679777e-24, -1.2438628805417836e-13, 0.19193830424133315, -6.1768202493601827e-17, 4.8421014901231727e-10, 3.6670393550063695e-13, 1.3598447330869936e-13, 1.7395653237982376e-31, 2.515002151881296e-39, -4.4629199374955084e-26, 2.3468793566478316e-29, -1.2751804025606094e-13, 0.086372241191056354, 3.5398228030960892e-11, 9.500361314108368e-13, 4.4841650655377773e-25, 1.8283587555023669e-13, -2.3919355796464496e-26, -5.1967128893983034e-21, 1.5531502565130037e-14, 4.797675165972329e-42, -4.8281918144626137e-16, 3.4279713290648192e-30, 7.3239827869393656e-14, -6.8987235541432148e-19, 8.7516749373398967e-14, 1.0024087686469451e-28, -2.4308395649163152e-15, -3.6133150293016114e-16, -2.5587280610412033e-16, 4.3297663088430539e-19, -5.7701263511304704e-15, -1.702053328309468e-15, 8.3705620740650933e-34, -2.2854346973175626e-16, 3.2315022550445203e-15, -7.3223284702576902e-16, -3.2849570638479516e-15, 2.4442899569986903e-31, 2.0040732359418562e-15, -2.4645548866297015e-15, 6.4092977495858784e-40, -9.4983508036016487e-16, 4.1550679487968679e-16, -9.6405605491313886e-14, -1.6259016874812038e-13, 0.72168803743500731, 1.6422811973662832e-66, -4.0924150720385066e-14, 5.6406146655433916e-16, 2.0957733751324548e-23, -2.9317247070744251e-15, 
0.0065200036393088532, 0.34539715555018868, 4.8518749451497678e-149, 300.00004863783295, 1.1270272473598633, 6.7826635020011819e-06, -5.2037534212190441e-23, -1.2239273426715059e-14, 0.19193725943291498, 3.1810886794275864e-17, 6.6422353244131933e-09, 5.3655030657316313e-12, 3.9675442356693547e-12, 1.2503092598754128e-36, -1.9657622071238161e-41, -4.4435891940848738e-26, -1.7137298792811224e-28, 9.412376736830409e-14, 0.086371786257079891, 5.2637623036770645e-10, 1.819302872739053e-11, 5.3752835567399752e-25, 2.7366567096598619e-12, -2.9683168744616237e-26, 4.6624275170018698e-19, 3.3716859344603719e-13, 4.8727991909183248e-41, 4.7609156822708786e-14, 4.4137926339497051e-30, 5.5897909104344008e-13, -2.0227355811256624e-18, 7.3528665382336407e-13, -8.105446254848512e-29, 4.9662646224544195e-15, -5.7231743047765949e-16, -1.0883806366182692e-14, 6.9755325269096524e-18, 2.6649694201883998e-15, -2.7107879353141276e-15, -5.8875520793942031e-33, -2.2174484566954179e-15, 1.5278471465585816e-14, -1.1644754736434728e-15, -3.8532691755771391e-15, -7.1304251498250804e-34, 1.2214265127702391e-15, -2.5821594360927773e-15, 8.0692528008644192e-42, -1.5403819001023388e-15, 6.3751401245529697e-16, -1.5066062566961514e-13, -1.6277236655992654e-13, 0.72168416444622974, 2.2134596483606644e-66, -4.8765726863461729e-14, -1.6997930930945493e-16, 2.4964822902898845e-23, 1.2991109456111926e-15, 
0.007624004367170624, 0.34540822991196729, 4.8521194488940083e-149, 300.00086108423346, 1.1269911175837717, 3.8361614334290681e-05, 9.917839671233905e-22, 8.9023297997010137e-14, 0.19193108307483675, 3.9286638084046328e-16, 1.1619322428894997e-07, 1.0187872584611802e-10, 7.8381549066164718e-11, 3.9253792002362793e-41, 5.8773291005132205e-41, -2.6381784856660009e-25, 2.6856173176456442e-27, 4.9395632982735685e-12, 0.086369079899093704, 1.0018156805610699e-08, 4.5013481180941773e-10, 1.6397497415778629e-24, 6.747901710118495e-11, -4.0242427599013598e-26, 6.1527602119259179e-18, 8.6424208449624898e-12, 1.3164272674712773e-38, 1.1897045714114335e-12, 3.4425218347609371e-29, 1.2530840914702725e-11, -2.1540205724788135e-17, 1.7320045652017885e-11, 3.8735453907883853e-26, 2.1108977833474459e-13, -9.34980747711347e-16, -9.1766857143251032e-14, 2.2193810094132554e-16, 9.6622990182645887e-14, 1.2542934214294074e-14, 1.1227988040055106e-31, 1.8519100978545874e-13, 2.8431668414662388e-13, -2.0415781322270982e-15, -4.9303860754386374e-15, -8.0599501462145567e-34, 1.7960483597852334e-14, -4.710122086908487e-15, 2.0618255721078427e-43, -2.9096785952324192e-15, 1.0849699754926379e-15, 3.769678727772787e-14, -1.6306021625512544e-13, 0.72166134845712115, 3.0123570760747612e-66, -4.9196389988780367e-14, 1.3379999050293471e-14, 7.0696298918173159e-23, 1.064200841128504e-13, 
0.0081760047311015098, 0.34543834612217644, 4.8521049814104607e-149, 300.00644645889923, 1.1268928752854208, 0.00011199667011487799, 7.9621772729073855e-20, 1.1079110626698738e-12, 0.19191648717008264, 1.1923888383735293e-14, 8.6069183634515523e-07, 8.1252367729932691e-10, 6.2970566498198661e-10, 2.7989618284896269e-45, 5.1028733141455644e-40, 2.9770180010531307e-23, 8.3832925637427085e-25, 3.8348319977556304e-11, 0.086362573007437729, 8.0013409732237065e-08, 4.5615187471550225e-09, 1.654809500835291e-22, 6.9102119256234724e-10, 8.3394015396365521e-25, 9.1361095414760496e-15, 9.0099407511008302e-11, 3.8770610790711369e-36, 1.1514572813695428e-11, 8.5910521645015165e-27, 1.2466469366782763e-10, -2.8988424551811419e-16, 1.8498004735034281e-10, 4.7439854754539177e-24, 2.4963376596077546e-12, -1.2584037538042127e-15, -2.8979703016573251e-13, 2.4639327513714872e-15, 5.4259113909763803e-13, 1.1703671348332766e-13, 9.0181553484439687e-30, 2.1542863252178619e-12, 2.6186384153148578e-12, 6.5021925843112412e-15, 2.8727087055228364e-15, -1.3199092014396123e-33, 1.7974244579617654e-13, -1.3565906362238238e-14, 7.0665739467836281e-41, 1.3978984908524803e-15, 1.5105476185488879e-15, 7.6677316224356811e-14, -1.6329296995426887e-13, 0.72160799529246245, 3.5252510964083487e-66, -4.9646779751111053e-14, 1.8682780098292313e-13, 5.1747514357364926e-21, 1.2819092896063933e-12, 
0.0087280050950323956, 0.34558133830026339, 4.8513982196824016e-149, 300.05948043197372, 1.1264266535820751, 0.00036542019425188664, 7.6972003859673673e-18, 9.2444067272774596e-12, 0.19186440736574537, 4.1209791918678654e-13, 7.8528565763062471e-06, 8.0247598069393491e-09, 6.2576132169538124e-09, -5.0787772658200854e-45, 1.4141564418534993e-36, 6.3048412265444861e-21, 2.72646216423227e-22, 3.5205602195306687e-10, 0.086338380299095102, 7.9136683903505101e-07, 5.8094108351661781e-08, 2.9357441901170291e-20, 8.9020513654120092e-09, 3.9107836041924058e-22, 6.8418416126605211e-13, 1.1821373961634296e-09, 1.6276283156192021e-33, 1.3937046163767633e-10, 3.6551599132845181e-24, 1.561972395640171e-09, 1.1277201898650879e-16, 2.5040981501223933e-09, 4.9175069105079135e-22, 3.7030414458276309e-11, 1.2328218445401096e-14, -7.351487024234214e-13, 1.867930122309351e-14, 3.5146763155466209e-12, 1.1228149065402791e-12, 8.7322629004548218e-28, 2.2370640093453166e-11, 3.0390193256568497e-11, 1.1732893930852551e-13, 8.048735149774495e-14, -4.4588702930218687e-33, 2.3399553230225757e-12, -4.4842572371194856e-16, 7.3563996249479783e-37, 5.205702950806969e-14, 1.4131691666491624e-15, 5.8675407813474788e-13, -1.6368037510834673e-13, 0.72142306076985518, 4.161563546354443e-66, -4.8628441173577975e-14, 3.2411714195817639e-12, 3.7154272668246773e-19, 1.9198081859456178e-11, 
0.0090040052769978385, 0.34592359459221972, 4.8506984343420095e-149, 300.25475295620936, 1.1253123043814297, 0.00072397428573356848, 1.6394878460202217e-16, 3.2709466703640773e-11, 0.191783895607259, 7.8394690627016889e-12, 3.3334767590315998e-05, 3.6403138783749663e-08, 2.8465021687780533e-08, -1.1065300332745871e-42, 2.2988089996482135e-33, 5.23677345487558e-19, 2.1965588339276539e-20, 1.4893799033296204e-09, 0.086297748751434158, 3.5895713827518261e-06, 3.2599088573998953e-07, 2.1415030294076104e-18, 5.0412008301042138e-08, 3.9430567992380167e-20, 1.4178773261742935e-11, 6.8047484565350044e-09, 1.6961878780721528e-31, 7.4867638813388828e-10, 3.9119378296843178e-22, 8.6452231539200551e-09, 7.8551604358354711e-16, 1.4815705331720034e-08, 1.4168740714851964e-20, 2.3690735603688089e-10, 9.0334772822351753e-14, -1.2236501849418923e-12, 3.6394401146986116e-13, 1.131055303973401e-11, 4.8752585198693847e-12, 1.8773665670104884e-26, 9.9668129509046848e-11, 1.5748008253968672e-10, 6.7706476029753627e-13, 3.8588193667464472e-13, 4.4795014005016907e-32, 1.3419460321886247e-11, 7.133803074816856e-15, 1.1615356063251855e-33, 3.0677413666958198e-13, 6.6183390993549862e-16, 3.1528203613321346e-12, -1.5648675675877827e-13, 0.72115698251232019, 4.3943742684298025e-66, -4.4935209802295036e-14, 2.3778667964323604e-11, 5.3840339266287648e-18, 1.2376459694014248e-10, 
0.0091420053679805609, 0.34650815230019238, 4.8501748952495104e-149, 300.66245506213249, 1.1234141288763575, 0.0010669495027228518, 1.6837304508886202e-15, 7.1809465028474998e-11, 0.19169382684551636, 5.1568025365834397e-11, 8.6072045370060761e-05, 9.9412643929948228e-08, 7.7688616164255344e-08, -4.2992161889449393e-41, 3.319031739561885e-31, 9.2428722787644451e-18, 3.6801859345012699e-19, 3.7975371638393744e-09, 0.086247097252808644, 9.7862017800089232e-06, 1.0624464984677118e-06, 4.0580668147221862e-17, 1.6546251739876056e-07, 8.4017354356595061e-19, 1.1616331189732763e-10, 2.2665504429663862e-08, 3.6298422982700469e-30, 2.3510404408573546e-09, 8.2656958685774701e-21, 2.7847342349063873e-08, 1.3803589767859921e-14, 5.0530815385135937e-08, 1.6602108842115015e-19, 8.6453517648152236e-10, 3.3526378490206172e-13, -1.8381184891574633e-12, -1.9422499455297565e-12, 2.347252224979224e-11, 1.2804355311843267e-11, 1.9593097936859177e-25, 2.5147952510350583e-10, 4.7907249296574639e-10, 2.2287628944544862e-12, 1.0604985567266218e-12, 1.3101591299419878e-30, 4.4562742243893059e-11, 3.9340666773644516e-14, 1.5793809084338734e-31, 1.0103740839385818e-12, 9.9589927579593723e-15, 1.0237050208441436e-11, -1.3668426159957383e-13, 0.72089475347031107, 4.8051849693257441e-66, -3.5666500426053551e-14, 9.7873377337531913e-11, 1.3770116055839108e-17, 4.5465009811011156e-10, 
