z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, C, CH, CH2, CH2(S), CH3, CH4, CO, CO2, HCO, CH2O, CH2OH, CH3O, CH3OH, C2H, C2H2, C2H3, C2H4, C2H5, C2H6, HCCO, CH2CO, HCCOH, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, CN, HCN, H2CN, HCNN, HCNO, HOCN, HNCO, NCO, N2, AR, C3H7, C3H8, CH2CHO, CH3CHO, 
0.0, 0.046289232305031201, 0.0, 373.69999999999999, 0.86452584927398501, 0.022588766636446451, 2.5514723839803589e-11, 8.1695215868138842e-12, 0.14704253764938985, 7.9205334760669331e-10, 0.048353977173231456, 7.1142046466274724e-06, 2.0490478465764603e-05, -8.3999408323458158e-16, 5.082656494458026e-18, 1.3883036795322361e-15, 1.9752229105274269e-17, 2.2154644959817483e-08, 0.09182237550743097, 0.01176990356581456, 0.0049613811379012433, 1.3324661895283322e-12, 0.00025268248893025127, 2.5079752109538337e-14, 1.4549612085751462e-08, 4.0442104001997136e-05, 5.2692830024309009e-20, 8.8868678265625065e-05, 1.2907504102065077e-14, 0.00034497363388242679, 7.3621408949392333e-11, 0.00018261882180645793, 1.4163238409299642e-13, 3.9619016805429865e-05, 1.9054221602217431e-08, 3.0794858341191014e-17, 2.530909460649442e-15, 1.2781008489723479e-11, 1.4229247165887729e-07, 9.6526653847845299e-20, 4.956874119975179e-09, 6.3823822986233765e-08, 2.985059960299366e-09, 2.8848867157813022e-13, -3.1523300348738498e-18, 1.2686605101259018e-07, 1.2851414074425227e-12, 2.1126739749748691e-18, 1.060844664681362e-09, 1.4349562800248302e-11, 1.4763858138038144e-08, 3.857945972928625e-14, 0.67248114208788401, -3.0826586529854557e-38, 2.3668021580846577e-11, 1.8295987874223876e-06, 7.403824513384158e-12, 8.6374815941819995e-07, 
7.8125000000000002e-05, 0.052028152404024794, 0.0, 419.55352140000002, 0.76908559966388235, 0.023219666761887286, 2.5954395551418893e-11, 8.711810635377689e-12, 0.14354571422511661, 8.4538533015919452e-10, 0.0526842540711598, 7.8448179082953756e-06, 2.26090752810781e-05, -5.1625936738770952e-18, 5.0283347032850932e-18, 1.4019120034831839e-15, 1.975455216139985e-17, 2.4244233230034703e-08, 0.089313598305708133, 0.012983369176232525, 0.0056172420198725322, 1.5089210184695777e-12, 0.00028580576582043976, 3.0616982376184946e-14, 1.647656721736455e-08, 4.585091200089067e-05, 5.3204694163175411e-20, 0.00010005273677877968, 1.560716993544975e-14, 0.00038966251803564496, 8.3928684991850951e-11, 0.00020838692024820516, 1.5684318110802618e-13, 4.5660818280188637e-05, 2.1959934173283368e-08, 3.2529804199520511e-17, 2.5252368007958173e-15, 1.3656250965978348e-11, 1.5550660400379265e-07, 9.6537985837186484e-20, 5.4718280271952285e-09, 7.1515270268802546e-08, 3.3843073421586014e-09, 3.2353278418495432e-13, -1.9689789648761403e-19, 1.436789229350041e-07, 1.4614967756170466e-12, 2.1131859950752488e-18, 1.2021154607137673e-09, 1.6264473320489472e-11, 1.6729884684881183e-08, 4.752573713952358e-14, 0.67152666118095217, -3.0828621970005691e-38, 2.795874813079641e-11, 2.1628252136403113e-06, 8.5430393600104076e-12, 9.9666588520379141e-07, 
0.00015625, 0.05778000503772722, 0.0, 465.4070428, 0.69249026797514801, 0.023825917658335381, 8.0570967481553231e-11, 1.537428642091239e-11, 0.13998290732659063, 1.2114971492641022e-09, 0.056986003399292121, 9.0371431522238972e-06, 2.4548835328189194e-05, -2.0100036004055565e-20, 3.0869544084580761e-21, 3.2402062361735431e-15, 7.5548051986703329e-17, 3.8806583865249576e-08, 0.086776232145909307, 0.014227042654125185, 0.0063019574746262085, 2.6831984148534137e-12, 0.00032006444396009162, 5.2985597535621365e-14, 2.229119947590051e-08, 5.1460466172553344e-05, 8.8964354790435122e-20, 0.00011168051460581396, 4.5947705403913683e-14, 0.0004361428347437845, 1.3662005612548381e-10, 0.00023548697327732405, 3.1074324601653652e-13, 5.2040584711706336e-05, 2.502799065097541e-08, 3.593700913517934e-17, 2.6488929745140875e-15, 1.4638649055054275e-11, 1.6871644094149114e-07, 7.0001565637658198e-19, 6.6537270012119811e-09, 7.8724845552017267e-08, 3.8019094354025874e-09, 3.6433823966912185e-13, -8.0597005392576016e-22, 1.6107295702360226e-07, 1.6331240296592858e-12, 1.8935556615713055e-20, 1.3498049228098745e-09, 1.8266887043712826e-11, 1.8785229479158808e-08, 6.1891144116233667e-14, 0.67065528808117891, -3.0827394890767355e-38, 4.8308895835922497e-11, 2.525460413378119e-06, 2.842579698264237e-11, 1.1372140279482706e-06, 
0.00031250000000000001, 0.069048316341047966, 0.0, 554.99322565, 0.57946420254173259, 0.024928210130643533, 6.5432729314037577e-10, 5.5752661733901251e-11, 0.13299122445206057, 2.8100474981326028e-09, 0.065197880806925956, 1.2443469642271179e-05, 2.7857355513407109e-05, -9.682145773063897e-23, 1.7646610806864115e-22, 2.0386301216614836e-14, 5.6197299770572486e-16, 1.2027260132618126e-07, 0.081842506244478433, 0.016702218200839451, 0.0077000136816166697, 9.3658509993885793e-12, 0.00038910128446354646, 1.9116602938445828e-13, 4.3285851922900243e-08, 6.2797863448816083e-05, 4.4507181915413167e-18, 0.00013529079480870164, 3.427308665092748e-13, 0.00053057656894364312, 4.5396980315754689e-10, 0.0002913759626889653, 1.1785916218037162e-12, 6.5267268160384208e-05, 3.1387841688355561e-08, 4.572926532170962e-17, 4.9500887240266728e-15, 1.7215781054958717e-11, 1.9415514119222808e-07, 1.8875977344073252e-17, 1.0914836597637711e-08, 9.1093749337363506e-08, 4.6566380465632122e-09, 4.6874327418967567e-13, 2.466688023872913e-20, 1.9615401092410705e-07, 1.9025148612268314e-12, 1.3745649432815173e-22, 1.6518870536650035e-09, 2.2363198219782511e-11, 2.2989154097182047e-08, 9.4328560787771729e-14, 0.66911777747724399, -3.0848340672096769e-38, 1.8219569738841102e-10, 3.3083251252141563e-06, 2.0907185479512391e-10, 1.4291331706499835e-06, 
0.00039062500000000002, 0.074671221665621137, 0.0, 599.55528370000002, 0.53582312819408906, 0.025481031267304409, 2.0099821072551631e-09, 1.3498141296428432e-10, 0.12922295881522788, 4.9642549689822483e-09, 0.069502129338201588, 1.474958805708736e-05, 2.9385166098346371e-05, -3.2302861456738992e-25, 1.9641956130879114e-21, 6.5483552326264269e-14, 1.9442213224812878e-15, 2.3345642130895833e-07, 0.079206055473711762, 0.018047875444571423, 0.0084775146162700925, 2.1110671877546553e-11, 0.00042695786647008985, 4.6077955166404508e-13, 6.5076228869341571e-08, 6.89998364390738e-05, 2.5923640504161817e-17, 0.00014835758673365006, 1.0343949891669097e-12, 0.00058286154500487148, 1.038651619183138e-09, 0.00032273358067816166, 2.6444577972006037e-12, 7.2724183017756349e-05, 3.4971712218785008e-08, 5.9873120449510217e-17, 1.5399481606368927e-14, 1.9687929185021332e-11, 2.0759185591704522e-07, 9.0903270295412359e-17, 1.4565627473742189e-08, 9.6381662942705849e-08, 5.1330130593124634e-09, 5.7274687364673209e-13, 1.6623474504760817e-19, 2.154446052193412e-07, 1.9415269378502148e-12, 3.1455145651007641e-22, 1.8201572607542941e-09, 2.4645072170521563e-11, 2.5330731346875256e-08, 1.2470187209304081e-13, 0.66838939706625244, -3.0851335653499726e-38, 3.8481563229785893e-10, 3.76567102666559e-06, 6.3591112194144786e-10, 1.5939420169264375e-06, 
0.00046874999999999998, 0.080268018879902092, 0.0, 643.83429379999995, 0.49845633810464812, 0.026020468313667451, 5.73222251537902e-09, 3.3229086609805597e-10, 0.1253655604721696, 8.6464681205184273e-09, 0.073831758711279311, 1.739810388009348e-05, 3.0769182342268918e-05, -2.4208576979699351e-26, 1.6296031019038737e-20, 2.0577215654467251e-13, 6.3307945727639537e-15, 4.329805661229005e-07, 0.076522369404482829, 0.019433565740216964, 0.0092907255734488558, 4.7696843647128914e-11, 0.00046612841716823638, 1.1549543769322452e-12, 9.3492851686572115e-08, 7.537848255928498e-05, 1.4065445874543522e-16, 0.00016197955883944632, 2.962641397165332e-12, 0.00063738614911728751, 2.3473496858384107e-09, 0.00035572907057691405, 5.865297925091038e-12, 8.0601248121228665e-05, 3.8755321229040778e-08, 6.4323636521460376e-17, 3.3297091054732218e-14, 2.3288906150298591e-11, 2.2117483286602802e-07, 3.8161992375193112e-16, 1.9418745064969225e-08, 1.0063082245237911e-07, 5.63199520328918e-09, 7.3437279511488116e-13, 5.325585093907723e-19, 2.3547395920091745e-07, 1.8870127844067759e-12, 1.2846234421932679e-21, 1.9963610050664376e-09, 2.7034624320387327e-11, 2.7782396869836061e-08, 1.7106608885394238e-13, 0.66770295608991814, -3.0852695598796522e-38, 7.2638075430607868e-10, 4.2603260638036503e-06, 1.7710872348216368e-09, 1.7681514557140552e-06, 
0.00054687500000000005, 0.085860979992514977, 0.0, 688.01223379999999, 0.46598171153133339, 0.026547980459822689, 1.5509627133005218e-08, 8.5539046842460258e-10, 0.12141419748388861, 1.5089896657843868e-08, 0.078192046151622077, 2.0350916282357273e-05, 3.1986696684991877e-05, 3.4029084517563646e-26, 1.4306279182862188e-19, 6.5383119547329665e-13, 2.0089225518667362e-14, 7.8437992926520347e-07, 0.073788152608068328, 0.020860274353790457, 0.010140650029541636, 1.0985113091979515e-10, 0.00050653453110604174, 3.0280804272673138e-12, 1.2809600381043331e-07, 8.1869665557876835e-05, 6.4434286930417756e-16, 0.00017617259869057584, 8.21978316393913e-12, 0.00069420947860512764, 5.2735039539778235e-09, 0.00039041418378714778, 1.3306712690774262e-11, 8.8921401812759482e-05, 4.2747788739917464e-08, 7.7394777367194578e-17, 6.9735133846652641e-14, 2.8543824887857144e-11, 2.3491794200726978e-07, 1.4351430830324447e-15, 2.5762416103841742e-08, 1.0351143899794859e-07, 6.1542396093961145e-09, 9.9131387044526663e-13, 2.0232245661976131e-18, 2.5626207901056749e-07, 1.753635055200895e-12, 3.6553574758692218e-23, 2.180763643951148e-09, 2.9535301201664614e-11, 3.0347273182665472e-08, 2.4604689380600561e-13, 0.66705783596485357, -3.0854814216360966e-38, 1.2139515949640446e-09, 4.7941953509913124e-06, 4.6372565637724723e-09, 1.9521448123723886e-06, 
0.00062500000000000001, 0.091454665974213381, 0.0, 732.12843269999996, 0.43747565715909587, 0.027064915052613863, 3.9283961818825983e-08, 2.2280891395836546e-09, 0.11736686245361493, 2.639767309482342e-08, 0.082588053172718598, 2.3527120254958034e-05, 3.3003799449501298e-05, -4.4998073316117653e-24, 9.1204243456976676e-19, 2.0647176539633167e-12, 6.2295432969481754e-14, 1.3968379132459584e-06, 0.071001842388205824, 0.022329150528893178, 0.011028418522944099, 2.5510116326075784e-10, 0.00054801224391081533, 8.0568900911932379e-12, 1.672652472184452e-07, 8.8369514251377329e-05, 2.6638533511631962e-15, 0.00019095575032671754, 2.1944904421013394e-11, 0.00075339580091578684, 1.1564880816006686e-08, 0.00042684555621230611, 3.1169672267551122e-11, 9.7719198953651762e-05, 4.6963047628610269e-08, 1.1324461453374497e-16, 1.4380758029179821e-13, 3.6169691303306314e-11, 2.488349382748847e-07, 4.8350098781784504e-15, 3.3917364540294195e-08, 1.0465498895244498e-07, 6.7004900805352254e-09, 1.3987242726410541e-12, 3.2130783476239692e-18, 2.7783179647522857e-07, 1.5972233495140769e-12, -5.2746806486624652e-19, 2.3737240313995328e-09, 3.2151759631778878e-11, 3.3028871993383802e-08, 3.7095263087267776e-13, 0.66644900192061918, -3.0866272101784846e-38, 1.746071194661576e-09, 5.3693717006484393e-06, 1.1208265668815295e-08, 2.1463768509173257e-06, 
0.00070312499999999997, 0.097052991558000165, 0.0, 776.21706619999998, 0.41223599924849746, 0.027572317296893474, 9.1597156331822053e-08, 5.6151818726160223e-09, 0.11322035448240121, 4.5909538310911017e-08, 0.087022840817434818, 2.6782382592383595e-05, 3.3770400900507693e-05, 4.3718881857291771e-23, 9.1504055803907116e-18, 6.3098626520487804e-12, 1.8639127286758604e-13, 2.4438479007882827e-06, 0.068161242313442963, 0.023840884478702324, 0.011954936454611386, 5.8492830206699701e-10, 0.00059022794423785677, 2.0959156659708435e-11, 2.0842806833186902e-07, 9.4723311032953497e-05, 1.0047209711370383e-14, 0.00020634678877887492, 5.5818709899034205e-11, 0.00081498983172860592, 2.4335593493381369e-08, 0.00046506858360960011, 7.4691691723133353e-11, 0.00010704569956828464, 5.142330248658566e-08, 1.0933636607650692e-16, 2.9009809161093194e-13, 4.7113299085708866e-11, 2.6293408590590823e-07, 1.4468177102203494e-14, 4.4186213547538371e-08, 1.0375043669644164e-07, 7.2713676633408566e-09, 2.0311948369032376e-12, 3.1135813705815051e-17, 3.0020088198386129e-07, 1.4628501599476295e-12, 1.2851784438789919e-18, 2.5756988743672707e-09, 3.4890102704049921e-11, 3.5830001415937118e-08, 5.8678120485695185e-13, 0.6658764746516882, -3.0865941970210641e-38, 2.1242073086494468e-09, 5.9879763333670546e-06, 2.4432830633089388e-08, 2.3512942844775769e-06, 
0.00078125000000000004, 0.10265863945394363, 0.0, 820.30200109999998, 0.3897215620918586, 0.028071198323223363, 1.9473183151610953e-07, 1.3226378996667505e-08, 0.1089740494730321, 7.8397457347420477e-08, 0.091499356251714445, 2.9910748168093366e-05, 3.421768254257346e-05, 5.3182958349389801e-22, 5.2370761171157641e-17, 1.8167273364307379e-11, 5.303738018829904e-13, 4.1824017394064145e-06, 0.065265695876145127, 0.025396252720865712, 0.012921212658521645, 1.2934148888664338e-09, 0.00063260392705655384, 5.1682848636587871e-11, 2.4881923208900823e-07, 0.00010072704207628992, 3.456992191443078e-14, 0.00022237014079194885, 1.341140842819041e-10, 0.00087903408862802278, 4.8624265274626565e-08, 0.00050512257511606024, 1.7834983482394513e-10, 0.00011698050057386412, 5.6169207811681228e-08, 1.3620121304202263e-16, 5.6585713656439545e-13, 6.2563441457891648e-11, 2.772242396270783e-07, 3.8325368269878347e-14, 5.6773861943760372e-08, 1.0052482835443783e-07, 7.8675818037220832e-09, 2.9800395996400303e-12, 6.1895706441151846e-17, 3.2339034348304257e-07, 1.352443565352908e-12, 3.9466824718825175e-18, 2.7874613847217113e-09, 3.7761658939328281e-11, 3.8753769132085484e-08, 9.4254946451822633e-13, 0.66533636767764748, -3.0876438892491271e-38, 2.247089266283225e-09, 6.6523521391514158e-06, 4.6895540859914714e-08, 2.5673444308862442e-06, 
