z (m), u (m/s), V (1/s), T (K), rho (kg/m3), H2, H, O, O2, OH, H2O, HO2, H2O2, N, NH, NH2, NH3, NNH, NO, NO2, N2O, HNO, N2, 
0.023123789114034638, 2.3396121786144639, 1.0344334416644382e-213, 300.0003016405355, 0.84946660941940633, 0.29585366854233136, 3.0765757516567188e-16, 5.7325991604128819e-12, 0.14792992740341182, 2.6182856963585315e-14, 3.0698588398774906e-10, 2.4935187354095212e-11, 3.3914332528481303e-12, 4.7068063725581035e-16, 4.4944419938280048e-22, 1.4985438089728924e-15, -9.0324135754724174e-16, 2.7496062001402029e-26, -7.1433443140294185e-15, 1.0277314033685082e-15, -3.3559857159098792e-16, -3.4058615131986478e-15, 0.55621640371319392, 
0.023364080584344995, 2.3395551737692721, 1.0344337316666654e-213, 300.0038702558104, 0.84948714855308205, 0.29582557931028791, 1.5550291641119771e-14, 8.311326777311476e-11, 0.14793599408117225, 1.5902824465540223e-12, 6.1562892505830203e-09, 5.4218869350473936e-10, 7.4702991979165769e-11, 4.8617851054817463e-16, 5.6546284164854163e-20, 1.4823385444662139e-15, -8.8593786910152435e-16, 1.3900626763146393e-24, -6.4919143488591906e-15, 1.1192149094294542e-15, -3.3537352723780681e-16, -3.4014813446997552e-15, 0.55623841975064781, 
0.023484226319500173, 2.3394388857640571, 1.0344346197730129e-213, 300.0218697750098, 0.84952910178599739, 0.29574039050361206, 4.3352194364838837e-13, 5.2211629784157229e-10, 0.14795437795294014, 4.6429220188685717e-11, 5.1498639450864511e-08, 4.8457131156841645e-09, 6.8057065325298905e-10, 6.6800126480342876e-16, 1.3185282071376572e-18, 1.479110674015981e-15, -8.7636083591226799e-16, 3.8786945240007201e-23, -1.0473162184763098e-15, 2.0255439090230169e-15, -3.3280178031073515e-16, -3.3639428779764486e-15, 0.55630517394954693, 
0.023604372054655352, 2.3393093361619677, 1.0344363895574032e-213, 300.14894049184716, 0.84957565097346321, 0.29536769211590769, 1.0612066274268852e-11, 3.9797161705984777e-09, 0.14803465800852192, 1.1443507563491825e-09, 5.3462439962569734e-07, 5.3523714149806603e-08, 7.743330702273514e-09, 2.3247920485368414e-15, 2.5666896823012745e-17, 1.511024344076253e-15, -8.561165091828202e-16, 9.5503956637554401e-22, 6.2620434859823866e-14, 1.4290798225466736e-14, -2.938879536911634e-16, -2.9247727142365734e-15, 0.55659704884937022, 
0.023664444922232943, 2.3400828090854375, 1.0344362677874623e-213, 300.50123905570285, 0.84929487072087306, 0.29471019675078469, 1.0812880689164297e-10, 1.4635213575941996e-08, 0.14817570487623724, 1.1476711804963563e-08, 2.5179180890123463e-06, 2.6008438630081646e-07, 3.9431223453582423e-08, 8.025611606772929e-15, 2.0587653436387007e-16, 1.6280526311069141e-15, -8.0189643008087395e-16, 9.8853734699210751e-21, 3.4990895940532253e-13, 7.7856633489535172e-14, -7.0047936249357178e-17, -9.505624243736022e-16, 0.55711125471878931, 
0.023694481356021736, 2.342345195280199, 1.0344357981002548e-213, 301.07755588710955, 0.84847521365715051, 0.29396680649686641, 4.6320136252456156e-10, 3.3740315499492901e-08, 0.14833399244122822, 4.7621178198935413e-08, 7.0718061280974376e-06, 7.4525040688998469e-07, 1.1814938269724734e-07, 1.9157811425199509e-14, 7.3333565585810819e-16, 1.8376867083818036e-15, -6.813788659284919e-16, 4.3428990284823642e-20, 1.0696557816037123e-12, 2.5754125328929365e-13, 6.2727047129335782e-16, 3.9730482675272173e-15, 0.55769118402993978, 
0.02372451778981053, 2.3495300476880701, 1.0344349379739178e-213, 302.5257328270589, 0.8458824218632125, 0.29260261196206833, 2.0102156914788866e-09, 8.5792359397772995e-08, 0.14862081422966883, 1.9548035423278635e-07, 2.2471637003120549e-05, 2.4309369857648759e-06, 4.0349105925266993e-07, 5.1659048058016654e-14, 2.6292826445534072e-15, 2.3969086987725624e-15, -2.6770653768793699e-16, 2.0060111036520251e-19, 3.707009565458681e-12, 9.8974967839972071e-13, 3.7425004071344678e-15, 2.1923116266996692e-14, 0.55875098445550664, 
0.023739536006704927, 2.3582082884490068, 1.0344359191808356e-213, 304.06896124007562, 0.84277132655252884, 0.29149539135263008, 5.0716282982939388e-09, 1.4630659227162421e-07, 0.14884892816116393, 4.4501309132634012e-07, 4.3819894404148049e-05, 4.8223323726561131e-06, 8.2192565763749555e-07, 9.1242029439126029e-14, 5.417459404633692e-15, 3.023563895005968e-15, 3.1864792664390023e-16, 5.4029605889119163e-19, 7.6635375254968755e-12, 2.1802310609768274e-12, 9.3308166000736854e-15, 4.8641941776572282e-14, 0.55960561993245794, 
0.023754554223599324, 2.3744974597446986, 1.034436302563841e-213, 306.77030948347146, 0.83699243433871395, 0.2899361748478676, 1.4251562722085192e-08, 2.6061105612765313e-07, 0.14916135957660601, 1.0370066451014064e-06, 9.0079452041300987e-05, 1.015730289221993e-05, 1.7700018754254112e-06, 1.6826374050841216e-13, 1.1377797674994652e-14, 4.1610484546853442e-15, 1.6155594621431803e-15, 1.6987603073572788e-18, 1.6854977747769031e-11, 5.1250224038041286e-12, 2.4455882890825422e-14, 1.1020216911397201e-13, 0.56079914692715349, 
0.023762063332046522, 2.387761601297393, 1.0344362879925508e-213, 308.87616428625483, 0.83234450668220916, 0.28891860666425834, 2.8780023639762653e-08, 3.5791026490366214e-07, 0.14935796857573241, 1.6516083996621759e-06, 0.00013327774176212091, 1.5286255460110164e-05, 2.680730164691963e-06, 2.341297849935279e-13, 1.6891389276963981e-14, 5.0770068429784254e-15, 2.8500678744673652e-15, 3.7386111205051542e-18, 2.6037624406186316e-11, 8.1650744858049759e-12, 4.1645794538417275e-14, 1.7098646259749926e-13, 0.56157014169925989, 
0.023769572440493721, 2.4064197013683719, 1.0344360424667194e-213, 311.76053838504896, 0.82589273930535623, 0.28769958794359635, 6.3395795801247526e-08, 5.0103036423621703e-07, 0.14958426859105325, 2.6760763595932962e-06, 0.00020103006061336577, 2.3539357971668793e-05, 4.1381448230193419e-06, 3.3074382644386102e-13, 2.53118007139823e-14, 6.3592013687676567e-15, 4.8162220708654479e-15, 9.2443762007923215e-18, 4.126305805452559e-11, 1.331588061618967e-11, 7.3226699200538705e-14, 2.707155805586521e-13, 0.56248419534413263, 
0.023777081548940919, 2.4324718700011529, 1.0344357787972941e-213, 315.69946033112092, 0.81704919227064876, 0.28624453526978472, 1.550650141004968e-07, 7.1440507422209964e-07, 0.14983981653252015, 4.4071894010631877e-06, 0.00030654089958036111, 3.6713490419600518e-05, 6.434590434068979e-06, 4.721026491253086e-13, 3.8118262607525629e-14, 8.147369022903998e-15, 7.9281195864816946e-15, 2.6366392913842994e-17, 6.6473551680664559e-11, 2.1877393703028406e-11, 1.308781822833645e-13, 4.3351974483957514e-13, 0.56356068246833013, 
0.023780836103164518, 2.4492692334176893, 1.0344356940169973e-213, 318.20242966852879, 0.81144672330788681, 0.28541040464446571, 2.6351479441052567e-07, 8.6356055914850261e-07, 0.14997773817346324, 5.7508357183827677e-06, 0.00038120060760025445, 4.6186157219937815e-05, 8.0569729392198028e-06, 5.6764586293828995e-13, 4.7046346116673488e-14, 9.3077523802133768e-15, 1.0162028297667613e-14, 4.9294491117284754e-17, 8.536836957071066e-11, 2.816878037683267e-11, 1.7749974238482158e-13, 5.5355076267950742e-13, 0.56416953541833736, 
0.023784590657388117, 2.4692518850412069, 1.0344356106024452e-213, 321.15210974255547, 0.80488091933849215, 0.28449836802725997, 4.4910549035454398e-07, 1.0520870522695846e-06, 0.15012041589259376, 7.565851428237781e-06, 0.00047601942244003195, 5.8326508082100213e-05, 1.0111277104188794e-05, 6.8517816894269256e-13, 5.8217131034267836e-14, 1.0692851173039105e-14, 1.3030155902734576e-14, 9.3813476519246651e-17, 1.1044541779070623e-10, 3.6366290843048609e-11, 2.4297116026964272e-13, 7.1080967291804657e-13, 0.56482769168001634, 
